player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Westwood, Lee",19,2,2.395,0.796,72,26,0.4810392307692307,-0.11481384615384616,0.6210138461538462,0.7674080769230769,1.2736080769230769,2.4734088888888888
"Donald, Luke",26,1,1.865,0.001,96,53,0.9510567924528303,0.5000311320754717,0.8124715094339623,-0.41942226415094336,0.8930803773584906,1.8921351041666667
"Stricker, Steve",19,2,1.8330000000000002,0,76,56,0.5308930357142857,0.46708589285714286,0.9498389285714286,0.3067273214285714,1.723652142857143,1.8738207894736842
"McDowell, Graeme",27,4,1.881,0.182,99,18,0.1599938888888889,-0.12571944444444444,0.8124838888888889,0.5536266666666667,1.2403911111111112,1.8276069696969697
"Casey, Paul",24,0,0.624,0.013,90,44,0.9348079545454545,-0.05957386363636363,0.6946047727272728,0.3495927272727273,0.9846236363636365,1.7588774444444444
"Kuchar, Matt",26,1,0.46099999999999997,0.013999999999999999,99,75,0.7013330666666667,0.3595572,0.4593138666666667,0.2313316,1.0502026666666668,1.7321159595959597
"Kaymer, Martin",24,4,1.5559999999999998,0.109,86,16,-0.42895625000000004,0.130194375,0.909821875,0.248775,1.28879125,1.711572906976744
"Woods, Tiger",15,0,0.859,0.427,57,29,0.05969931034482758,-0.048250689655172416,0.6755941379310345,-0.06776103448275864,0.5595824137931035,1.6548222807017545
"Mickelson, Phil",23,1,0.506,0.996,86,57,-0.07018701754385964,0.263660350877193,0.9078008771929824,0.2993638596491228,1.470825087719298,1.639809534883721
"Molinari, Francesco",27,1,1.47,0,101,12,0.44912833333333335,-0.034590000000000024,1.3786699999999998,0.30575416666666666,1.6498341666666665,1.5870659405940593
"Furyk, Jim",21,3,1.0790000000000002,0,78,60,0.47554966666666665,0.40540299999999996,0.8001931666666666,0.24396333333333334,1.4495595,1.5810278205128205
"McIlroy, Rory",26,1,1.381,0.06,96,40,-0.16343224999999997,0.005228000000000012,0.43051199999999995,0.808263,1.244003,1.5360002083333333
"Els, Ernie",28,2,1.654,0.043,101,55,0.39448309090909095,0.070926,0.8803780000000001,0.30343181818181814,1.2547358181818182,1.5041859405940592
"Goosen, Retief",25,0,0.492,0.005,97,53,0.7618622641509433,0.4254856603773585,0.32171037735849056,0.43116471698113207,1.1783607547169812,1.452560824742268
"Johnson, Dustin",24,2,0.922,0.027,90,63,0.1875546031746032,-0.14297174603174603,0.4473584126984127,0.8739998412698413,1.178386507936508,1.4001514444444445
"Choi, K.J.",27,0,0.56,0.407,102,61,0.11146196721311477,0.3011727868852459,0.6264329508196721,0.21695508196721314,1.144560819672131,1.3796420588235294
"Van Pelt, Bo",28,0,0.873,0,104,87,0.14061344827586209,0.12154287356321838,0.3448324137931035,0.7690047126436782,1.2353800000000001,1.3393271153846154
"Watney, Nick",25,0,0.07400000000000001,0.061,96,69,0.1863936231884058,-0.2694485507246377,0.6669982608695653,0.6931440579710145,1.0906937681159423,1.3044889583333334
"Hanson, Peter",22,2,0.07,0,84,12,-0.057345,0.7629958333333334,0.5863825,0.2777175,1.6270958333333336,1.276182142857143
"Harrington, Padraig",26,1,0.471,0,90,44,0.29388681818181817,0.38803750000000004,0.6077429545454546,-0.05364568181818183,0.9421347727272728,1.2746491111111111
"Rose, Justin",25,2,1.589,0,90,70,0.28871042857142853,0.46702242857142856,0.25653357142857147,0.38802571428571425,1.1115817142857143,1.1769806666666667
"Kim, K.T.",28,3,0.436,0,109,0,-9999,-9999,-9999,-9999,-9999,1.1555900917431192
"Schwartzel, Charl",26,1,0.464,0,96,20,0.947373,-0.1653645,-0.21422299999999997,0.33137000000000005,-0.04821749999999991,1.1543855208333333
"Clark, Tim",25,1,0.928,0.002,93,68,0.3297232352941176,0.02367838235294117,0.708085,0.03408264705882352,0.7658460294117646,1.139661935483871
"Kim, Daehyun",8,1,0.725,0,30,0,-9999,-9999,-9999,-9999,-9999,1.1359093333333334
"Cink, Stewart",23,0,0.076,0,84,65,0.2546330769230769,-0.08083076923076922,0.4231403076923077,0.5070804615384615,0.84939,1.1281434523809524
"Molinari, Edoardo",29,2,1.556,0,109,12,0.20424333333333333,0.36266166666666666,0.5225725,-0.2087858333333333,0.6764483333333333,1.116251743119266
"Scott, Adam",24,2,0.8,0,86,52,-0.6853394230769231,-0.0016550000000000091,1.328276923076923,0.5804390384615384,1.9070609615384613,1.1077711627906976
"Allenby, Robert",26,0,0.925,0,96,61,0.21174360655737706,-0.0005729508196721208,0.7645618032786885,0.4761560655737705,1.2401449180327868,1.1054196875
"Crane, Ben",24,1,0.281,0,86,66,0.31945181818181817,0.06010045454545455,0.4879757575757576,0.23780696969696968,0.7858831818181818,1.1045263953488373
"Mahan, Hunter",26,2,0.9189999999999999,0.027,92,67,0.12568880597014923,-0.09858328358208956,0.17807940298507463,0.7134949253731344,0.7929910447761195,1.09524
"Holmes, J.B.",27,0,0.251,0,102,88,0.07866761363636363,0.11459431818181819,0.07831897727272727,0.7523540909090909,0.9452673863636364,1.0930449019607842
"Poulter, Ian",23,2,0.897,0.006,81,34,0.30482088235294114,0.2651355882352941,-0.4763538235294118,0.010116470588235301,-0.20110176470588242,1.0896176543209877
"Ogilvy, Geoff",23,2,0.8069999999999999,0,80,50,0.4723802,0.08928739999999999,0.6860588,-0.024512799999999998,0.7508334,1.0656255
"Haas, Bill",26,2,0.192,0,91,75,-0.035181866666666665,0.020631333333333335,0.5907718666666667,0.49701106666666667,1.1084142666666668,1.0611717582417584
"Watson, Bubba",23,1,0.27,0.103,81,67,-0.032866268656716414,-0.1534517910447761,0.22607567164179104,0.852395671641791,0.9250195522388058,1.032972098765432
"Quiros, Alvaro",26,1,0.427,0.001,94,16,0.661718125,0.041316875,-0.31274375,0.69911125,0.427684375,1.0210878723404255
"Oosthuizen, Louis",25,2,0.43100000000000005,0.867,86,4,0.3702175,0.00188499999999997,0.7119800000000001,1.4244325,2.1382975,1.0169477906976745
"Fisher, Ross",25,1,0.8300000000000001,0,88,18,-0.5911916666666667,-0.12293055555555554,0.2986738888888889,0.6466516666666666,0.822395,1.0136862500000001
"Day, Jason",23,1,0.767,0.005,82,71,0.03706169014084507,0.46697436619718313,0.15861380281690138,0.3147949295774648,0.9403830985915493,0.9995041463414633
"Johnson, Zach",25,1,0.71,0.049,95,75,0.641396,-0.10504293333333335,0.3396458666666667,0.1938948,0.4284977333333333,0.951556947368421
"O'Hair, Sean",25,0,0.132,0.004,86,65,-0.03576030769230767,0.0837806153846154,0.29843169230769234,0.49722492307692306,0.8794372307692309,0.9421497674418604
"Moore, Ryan",23,0,0.502,0.001,79,61,0.37072032786885245,-0.06359639344262295,0.15677852459016392,0.5426642622950819,0.635846393442623,0.9017130379746836
"Villegas, Camilo",25,1,0.984,0.01,96,56,-0.32359678571428574,0.15092375,0.8956096428571428,0.2988798214285714,1.3454132142857143,0.8751713541666667
"Singh, Vijay",23,0,0.06999999999999999,0,76,57,-0.7015603508771929,0.16007859649122808,1.0709845614035087,0.4230717543859649,1.6541349122807019,0.8680117105263158
"Lehman, Tom",10,0,0,0,34,19,-0.38676052631578944,0.18217894736842105,0.599711052631579,0.4620947368421053,1.2439847368421053,0.8660067647058823
"Karlsson, Robert",25,2,1.183,0.001,89,22,-0.45747909090909095,0.22457590909090913,0.31217545454545453,-0.17166136363636364,0.36509,0.8409670786516854
"Jimenez, Miguel A",29,3,1.058,0.001,102,8,-0.20553875000000005,-0.09892499999999999,0.17388374999999995,0.19431375,0.26927249999999997,0.8219305882352942
"Na, Kevin",26,0,0.34099999999999997,0,97,76,0.5358382894736843,0.2908669736842105,0.3986023684210526,-0.2154309210526316,0.4740384210526315,0.8134940206185567
"Hoffman, Charley",24,1,1,0,85,77,0.10826311688311688,-0.07971285714285715,0.33725987012987013,0.64818,0.905727012987013,0.8093457647058823
"Fowler, Rickie",30,0,0.9580000000000001,0,104,83,0.1405144578313253,-0.1353432530120482,0.4384802409638554,0.4315244578313253,0.7346614457831325,0.8005136538461539
"Snedeker, Brandt",26,0,0.458,0.004,89,75,0.4738524,0.3077590666666667,0.10634426666666667,-0.2869628,0.12714053333333336,0.7995832584269662
"Watson, Tom",5,0,0.001,0,18,0,-9999,-9999,-9999,-9999,-9999,0.7876616666666667
