player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Gerard, Ryan",1,0,0,0,4,0,-9999,-9999,-9999,-9999,-9999,3.94282
"Reitan, Kristoffer",1,1,0.608,0,4,4,1.8432425,0.6626175,-0.08248499999999992,1.3907425,1.970875,3.8141125000000002
"Schaper, Jayden",3,2,0.38,0,11,4,1.4249925,0.8291175000000001,0.56264,0.7473675,2.139125,3.4318145454545457
"Norris, Shaun",2,0,0.01,0,7,4,1.4844925,-0.06013250000000006,0.91289,-0.0231325,0.829625,2.4255257142857145
"Kim, Si Woo",1,0,0.004,0,4,0,-9999,-9999,-9999,-9999,-9999,2.219835
"Detry, Thomas",1,0,0.002,0,4,4,0.32164249999999994,-0.3207325,1.48074,0.5824675,1.7424749999999998,2.0641125
"Bezuidenhout, Christiaan",2,0,0.034,0,7,4,-0.1702575,0.8673675,1.7303899999999999,0.38661749999999995,2.9843749999999996,1.996954285714286
"Levy, Alexander",1,0,0,0,4,0,-9999,-9999,-9999,-9999,-9999,1.94282
"Sullivan, Andy",1,0,0.001,0,4,4,0.9724925,-0.1653825,0.66539,0.3416175,0.8416250000000001,1.8141125
"Oosthuizen, Louis",1,0,0,0,3,0,-9999,-9999,-9999,-9999,-9999,1.5740766666666666
"Li, Haotong",1,0,0,0,4,4,1.3484924999999999,-0.16188249999999998,0.4688899999999999,-0.0913825,0.2156249999999999,1.5641125
"Molinari, Francesco",1,0,0,0,4,4,-0.2775075,-0.06838249999999996,1.5256399999999999,0.3843675,1.8416249999999998,1.5641125
"Ferguson, Ewen",1,0,0,0,4,4,0.035442499999999995,-0.3149325,1.605065,0.23854250000000002,1.528675,1.5641124999999998
"Jarvis, Casey",2,0,0,0,7,0,-9999,-9999,-9999,-9999,-9999,1.4990728571428573
"Parry, John",3,0,0,0,11,4,-0.30160750000000003,-0.1302325,0.7679900000000001,0.4779675,1.115725,1.4318145454545455
"Bradbury, Dan",2,0,0.375,0,7,4,0.5003925,-0.0719825,2.01624,1.1194674999999998,3.063725,1.4255257142857143
"Hillier, Daniel",2,0,0,0,8,0,-9999,-9999,-9999,-9999,-9999,1.36510875
"Scott, Adam",2,0,0.001,0,8,0,-9999,-9999,-9999,-9999,-9999,1.36510875
"Zalatoris, Will",1,0,0,0,4,4,-0.5238075,0.3793175,1.159815,0.29879249999999996,1.837925,1.3141125000000002
"Surratt, Caleb",1,0,0,0,4,0,-9999,-9999,-9999,-9999,-9999,1.219835
"McCarty, Matt",1,0,0,0,4,0,-9999,-9999,-9999,-9999,-9999,1.219835
"Van Tonder, Daniel",3,0,0,0,11,4,-0.6139075,0.5269675,0.64004,1.0110175,2.178025,1.159087272727273
"Ding, Wenyi",2,0,0.001,0,8,0,-9999,-9999,-9999,-9999,-9999,1.11510875
"McKibbin, Tom",1,0,0,0,4,4,-0.037657500000000066,0.3554675,0.10241499999999998,0.6438925000000001,1.1017750000000002,1.0641125
"Higgo, Garrick",1,0,0,0,4,4,0.7546425,0.1530175,-0.31475999999999993,0.4712175,0.30947500000000006,1.0641125
"Lee, Min Woo",2,0,0,0,8,0,-9999,-9999,-9999,-9999,-9999,0.9901087500000001
"Leishman, Marc",2,0,0,0,8,0,-9999,-9999,-9999,-9999,-9999,0.99010875
"Ballester, Jose Luis",2,0,0,0,8,0,-9999,-9999,-9999,-9999,-9999,0.9901087499999999
