player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Woods, Tiger",18,6,4.284,2.5519999999999996,72,72,-9999,-9999,-9999,-9999,-9999,3.4689033333333334
"Singh, Vijay",28,2,2.567,0.033,104,104,-9999,-9999,-9999,-9999,-9999,2.156348269230769
"Mickelson, Phil",24,2,1.1480000000000001,0.737,94,94,-9999,-9999,-9999,-9999,-9999,2.0643847872340424
"Price, Nick",17,1,1.0379999999999998,0.019999999999999997,66,66,-9999,-9999,-9999,-9999,-9999,1.986244696969697
"Toms, David",26,0,1.7730000000000001,0,102,102,-9999,-9999,-9999,-9999,-9999,1.9597572549019608
"Els, Ernie",25,4,1.927,0.04,97,97,-9999,-9999,-9999,-9999,-9999,1.9577252577319588
"Leonard, Justin",24,1,0.49,0.179,94,94,-9999,-9999,-9999,-9999,-9999,1.8489672340425531
"Garcia, Sergio",23,2,1.115,0.165,88,88,-9999,-9999,-9999,-9999,-9999,1.8349455681818183
"Harrington, Padraig",23,1,0.34299999999999997,0.052000000000000005,89,89,-9999,-9999,-9999,-9999,-9999,1.8200849438202247
"Goosen, Retief",29,2,2.9699999999999998,0.20400000000000001,112,112,-9999,-9999,-9999,-9999,-9999,1.7515798214285714
"Love III, Davis",24,0,0.724,0.003,87,87,-9999,-9999,-9999,-9999,-9999,1.5537206896551723
"Furyk, Jim",24,1,0.451,0.01,85,85,-9999,-9999,-9999,-9999,-9999,1.533758
"DiMarco, Chris",27,1,0.6390000000000001,0.001,106,106,-9999,-9999,-9999,-9999,-9999,1.5320593396226416
"Mediate, Rocco",21,1,1.061,0.089,75,75,-9999,-9999,-9999,-9999,-9999,1.4752274666666667
"Perry, Kenny",25,0,0.841,0,95,95,-9999,-9999,-9999,-9999,-9999,1.4286207368421053
"Cabrera, Angel",22,1,0.095,0.003,83,83,-9999,-9999,-9999,-9999,-9999,1.4071280722891566
"Funk, Fred",32,0,0.669,0.173,118,118,-9999,-9999,-9999,-9999,-9999,1.3828810169491526
"Howell III, Charles",30,1,0.662,0.003,112,112,-9999,-9999,-9999,-9999,-9999,1.3523566071428572
"Riley, Chris",27,1,0.751,0.307,100,100,-9999,-9999,-9999,-9999,-9999,1.33257
"Montgomerie, Colin",25,1,1.1320000000000001,0.001,88,88,-9999,-9999,-9999,-9999,-9999,1.3291039772727273
"Allenby, Robert",27,0,0.777,0.009000000000000001,99,99,-9999,-9999,-9999,-9999,-9999,1.3118358585858585
"Lonard, Peter",30,0,0.156,0.013,113,113,-9999,-9999,-9999,-9999,-9999,1.2940669026548672
"Maruyama, Shigeki",24,1,0.976,0.010000000000000002,87,87,-9999,-9999,-9999,-9999,-9999,1.2914647126436782
"Estes, Bob",24,1,0.13699999999999998,0.001,87,87,-9999,-9999,-9999,-9999,-9999,1.2857157471264369
"Verplank, Scott",25,0,0.093,0,91,91,-9999,-9999,-9999,-9999,-9999,1.265412087912088
"Hoch, Scott",20,0,0.15000000000000002,0.041,70,70,-9999,-9999,-9999,-9999,-9999,1.2241279999999999
"Kelly, Jerry",28,2,1.471,0,98,98,-9999,-9999,-9999,-9999,-9999,1.213240612244898
"Huston, John",25,0,0.155,0,96,96,-9999,-9999,-9999,-9999,-9999,1.2099492708333333
"Choi, K.J.",26,2,1.526,0,89,89,-9999,-9999,-9999,-9999,-9999,1.2033083146067414
"Campbell, Michael",24,1,0.215,0,83,83,-9999,-9999,-9999,-9999,-9999,1.1859061445783132
"Roberts, Loren",25,1,0.273,0,93,93,-9999,-9999,-9999,-9999,-9999,1.184693440860215
"Appleby, Stuart",26,0,0.135,0.017,94,94,-9999,-9999,-9999,-9999,-9999,1.113251914893617
"Duval, David",22,0,0.030000000000000002,0,75,75,-9999,-9999,-9999,-9999,-9999,1.0848032
"Sluman, Jeff",32,1,0.611,0,121,121,-9999,-9999,-9999,-9999,-9999,1.0596978512396695
"Bjorn, Thomas",25,1,0.47800000000000004,0.003,88,88,-9999,-9999,-9999,-9999,-9999,1.0304444318181818
"Clarke, Darren",23,1,0.7030000000000001,0,84,84,-9999,-9999,-9999,-9999,-9999,1.0081033333333334
"Tway, Bob",27,0,0.16499999999999998,0,99,99,-9999,-9999,-9999,-9999,-9999,0.9951080808080808
"Olazabal, Jose Maria",27,2,0.5880000000000001,0.053,96,96,-9999,-9999,-9999,-9999,-9999,0.9946851041666666
"Lehman, Tom",21,0,0.025000000000000005,0,74,74,-9999,-9999,-9999,-9999,-9999,0.9886741891891891
"Faxon, Brad",24,0,0.192,0.001,89,89,-9999,-9999,-9999,-9999,-9999,0.9771422471910113
"Romero, Eduardo",21,1,0.349,0,77,77,-9999,-9999,-9999,-9999,-9999,0.9585433766233766
"Weir, Mike",24,0,0.011,0,92,92,-9999,-9999,-9999,-9999,-9999,0.9486456521739131
"Scott, Adam",27,2,1.1749999999999998,0.003,92,92,-9999,-9999,-9999,-9999,-9999,0.9330415217391305
"Edwards, Joel",28,0,0.032,0,101,101,-9999,-9999,-9999,-9999,-9999,0.9275125742574257
"Mattiace, Len",28,2,0.48,0,106,106,-9999,-9999,-9999,-9999,-9999,0.9089555660377359
"McCarron, Scott",26,0,0.714,0.001,98,98,-9999,-9999,-9999,-9999,-9999,0.8977711224489796
"Faldo, Nick",20,0,0.007,0.039,74,74,-9999,-9999,-9999,-9999,-9999,0.879345945945946
"Flesch, Steve",30,0,0.061000000000000006,0.003,105,105,-9999,-9999,-9999,-9999,-9999,0.8663475238095237
"Lucquin, Jean-F",3,0,0.003,0,10,10,-9999,-9999,-9999,-9999,-9999,0.839552
"Langer, Bernhard",23,1,0.368,0,82,82,-9999,-9999,-9999,-9999,-9999,0.8116717073170732
"Rollins, John",33,1,0.17200000000000001,0,120,120,-9999,-9999,-9999,-9999,-9999,0.8088529166666666
"Janzen, Lee",27,0,0.174,0,96,96,-9999,-9999,-9999,-9999,-9999,0.8038892708333333
"Haas, Jay",22,0,0.103,0.004,79,79,-9999,-9999,-9999,-9999,-9999,0.7646972151898734
"Norman, Greg",14,0,0.001,0.001,49,49,-9999,-9999,-9999,-9999,-9999,0.7571642857142857
"Andrade, Billy",29,0,0.168,0,96,96,-9999,-9999,-9999,-9999,-9999,0.7455072916666667
"Ames, Stephen",27,0,0.34600000000000003,0,87,87,-9999,-9999,-9999,-9999,-9999,0.7448735632183908
