player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Woods, Tiger",18,4,4.879,0.013999999999999999,72,72,-9999,-9999,-9999,-9999,-9999,3.0389980555555556
"Singh, Vijay",27,4,5.467,0.037,106,106,-9999,-9999,-9999,-9999,-9999,2.7653208490566037
"Els, Ernie",24,6,3.3739999999999997,0.135,96,96,-9999,-9999,-9999,-9999,-9999,2.6977336458333334
"Weir, Mike",19,3,2.5039999999999996,0.509,75,75,-9999,-9999,-9999,-9999,-9999,2.564732133333333
"Furyk, Jim",26,2,1.045,0.743,101,101,-9999,-9999,-9999,-9999,-9999,2.431891089108911
"Love III, Davis",21,3,2.422,0.013999999999999999,79,79,-9999,-9999,-9999,-9999,-9999,2.18061
"Goosen, Retief",26,2,2.149,0.003,95,95,-9999,-9999,-9999,-9999,-9999,2.051054
"Perry, Kenny",25,3,2.106,0.026,97,97,-9999,-9999,-9999,-9999,-9999,1.7986792783505154
"Couples, Fred",17,1,1.0070000000000001,0,67,67,-9999,-9999,-9999,-9999,-9999,1.721192537313433
"Allenby, Robert",23,0,0.7240000000000001,0,84,84,-9999,-9999,-9999,-9999,-9999,1.6239691666666667
"Campbell, Chad",27,1,1.686,0.745,104,104,-9999,-9999,-9999,-9999,-9999,1.606459230769231
"Clarke, Darren",25,1,1.2129999999999999,0,96,96,-9999,-9999,-9999,-9999,-9999,1.5360884375000001
"Toms, David",23,2,1.49,0.008,81,81,-9999,-9999,-9999,-9999,-9999,1.5280441975308643
"Verplank, Scott",25,0,0.28900000000000003,0.006,96,96,-9999,-9999,-9999,-9999,-9999,1.5194811458333335
"Haas, Jay",23,0,0.8130000000000001,0.122,83,83,-9999,-9999,-9999,-9999,-9999,1.4862939759036145
"Izawa, Toshimitsu",5,0,0.006,0.003,16,16,-9999,-9999,-9999,-9999,-9999,1.463354375
"Harrington, Padraig",23,2,0.8190000000000001,0.002,84,84,-9999,-9999,-9999,-9999,-9999,1.4478590476190476
"Leonard, Justin",21,1,0.28200000000000003,0,75,75,-9999,-9999,-9999,-9999,-9999,1.4244678666666668
"Appleby, Stuart",25,1,1.561,0.002,85,85,-9999,-9999,-9999,-9999,-9999,1.3783724705882352
"Estes, Bob",24,0,0.276,0,91,91,-9999,-9999,-9999,-9999,-9999,1.3280145054945056
"Cink, Stewart",27,0,0.7290000000000001,0,100,100,-9999,-9999,-9999,-9999,-9999,1.3260935
"Price, Nick",17,0,0.554,0.004,66,66,-9999,-9999,-9999,-9999,-9999,1.3221271212121213
"Howell III, Charles",29,0,1.226,0.014,115,115,-9999,-9999,-9999,-9999,-9999,1.2907065217391305
"Faxon, Brad",26,0,0.42700000000000005,0,95,95,-9999,-9999,-9999,-9999,-9999,1.244307894736842
"Casey, Paul",22,1,0.643,0,81,81,-9999,-9999,-9999,-9999,-9999,1.2423293827160493
"DiMarco, Chris",25,0,0.202,0,93,93,-9999,-9999,-9999,-9999,-9999,1.2267374193548386
"Funk, Fred",31,0,0.401,0.029,109,109,-9999,-9999,-9999,-9999,-9999,1.1900611926605504
"Baird, Briny",32,0,0.34700000000000003,0,109,109,-9999,-9999,-9999,-9999,-9999,1.1820154128440366
"Roberts, Loren",23,0,0.151,0.029,86,86,-9999,-9999,-9999,-9999,-9999,1.1586581395348836
"Sluman, Jeff",30,0,0.115,0,104,104,-9999,-9999,-9999,-9999,-9999,1.1561148076923078
"Watson, Tom",4,0,0,0,12,12,-9999,-9999,-9999,-9999,-9999,1.1144550000000002
"Ames, Stephen",25,0,0.032,0,89,89,-9999,-9999,-9999,-9999,-9999,1.1017278651685394
"Triplett, Kirk",24,1,0.837,0,90,90,-9999,-9999,-9999,-9999,-9999,1.098552
"Riley, Chris",27,0,0.563,0,90,90,-9999,-9999,-9999,-9999,-9999,1.0837210000000002
"Lonard, Peter",28,0,0.031,0,102,102,-9999,-9999,-9999,-9999,-9999,1.0760751960784314
"Kelly, Jerry",29,0,0.265,0,104,104,-9999,-9999,-9999,-9999,-9999,1.0722325
"Choi, K.J.",31,1,0.8240000000000001,0.001,110,110,-9999,-9999,-9999,-9999,-9999,1.0594896363636364
"Sutherland, Kevin",26,0,0.031000000000000003,0.003,94,94,-9999,-9999,-9999,-9999,-9999,1.0303318085106383
"Mickelson, Phil",22,0,0.037000000000000005,0.164,84,84,-9999,-9999,-9999,-9999,-9999,1.0194336904761905
"Flesch, Steve",32,1,0.29200000000000004,0,108,108,-9999,-9999,-9999,-9999,-9999,1.0096332407407407
"Fasth, Niclas",24,0,0.11100000000000002,0.014,87,87,-9999,-9999,-9999,-9999,-9999,0.9929098850574714
"Mediate, Rocco",23,0,1.038,0.003,78,78,-9999,-9999,-9999,-9999,-9999,0.9815042307692309
"Huston, John",22,1,0.216,0,75,75,-9999,-9999,-9999,-9999,-9999,0.9777409333333332
"Herron, Tim",28,0,1.8190000000000002,0.007,100,100,-9999,-9999,-9999,-9999,-9999,0.9763291000000001
"Lehman, Tom",23,0,0.843,0,82,82,-9999,-9999,-9999,-9999,-9999,0.956029268292683
"Forsman, Dan",27,0,0.061,0,98,98,-9999,-9999,-9999,-9999,-9999,0.9447876530612245
"Calcavecchia, Mark",24,0,0.457,0,84,84,-9999,-9999,-9999,-9999,-9999,0.9329198809523809
"Tway, Bob",25,1,0.297,0,85,85,-9999,-9999,-9999,-9999,-9999,0.9226062352941177
"Gamez, Robert",31,0,0.11800000000000001,0.007,114,114,-9999,-9999,-9999,-9999,-9999,0.9143145614035088
"Kaye, Jonathan",26,1,1.04,0.002,88,88,-9999,-9999,-9999,-9999,-9999,0.910695909090909
"Petrovic, Tim",32,0,0.162,0.001,106,106,-9999,-9999,-9999,-9999,-9999,0.9068757547169811
"Scott, Adam",24,2,1.0179999999999998,0.001,82,82,-9999,-9999,-9999,-9999,-9999,0.8905787804878049
"Johnson, Zach",21,2,0.033,0,80,80,-9999,-9999,-9999,-9999,-9999,0.8706192500000001
"Waldorf, Duffy",24,0,0.252,0,86,86,-9999,-9999,-9999,-9999,-9999,0.8427529069767441
"Jacobson, Freddie",21,3,1.002,0.01,77,77,-9999,-9999,-9999,-9999,-9999,0.829371948051948
"Pampling, Rod",26,0,0.10900000000000001,0.007,83,83,-9999,-9999,-9999,-9999,-9999,0.8057272289156626
"Kendall, Skip",30,0,0.058,0,110,110,-9999,-9999,-9999,-9999,-9999,0.7726001818181818
"Clark, Tim",28,0,0.031,0.578,92,92,-9999,-9999,-9999,-9999,-9999,0.7432938043478261
"Austin, Woody",30,0,0.066,0.001,104,104,-9999,-9999,-9999,-9999,-9999,0.7302400961538461
"Davis, Brian",30,0,0.35400000000000004,0.006,110,110,-9999,-9999,-9999,-9999,-9999,0.724883909090909
"Bjorn, Thomas",20,0,0.026000000000000002,0.028,72,72,-9999,-9999,-9999,-9999,-9999,0.7198841666666667
"Durant, Joe",28,0,0.203,0,96,96,-9999,-9999,-9999,-9999,-9999,0.696644375
"Janzen, Lee",24,0,0.983,0,80,80,-9999,-9999,-9999,-9999,-9999,0.6938888750000001
"Byrd, Jonathan",29,0,0.064,0.005,101,101,-9999,-9999,-9999,-9999,-9999,0.6785260396039604
"Garcia, Sergio",23,0,0.06,0.001,75,75,-9999,-9999,-9999,-9999,-9999,0.6783087999999999
"Cejka, Alex",28,0,0.040999999999999995,0.389,99,99,-9999,-9999,-9999,-9999,-9999,0.6725835353535353
"Jobe, Brandt",22,0,0.043000000000000003,0,77,77,-9999,-9999,-9999,-9999,-9999,0.6660985714285714
