player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Rahm, Jon",17,2,2.568,0.002,63,58,0.6486796551724139,0.40892896551724134,0.43333275862068965,0.9287662068965518,1.7710279310344825,2.48173873015873
"Thomas, Justin",20,3,2.7430000000000003,0,71,59,0.09485898305084746,0.40422135593220343,1.1685745762711863,0.5639264406779662,2.136722372881356,2.3162571830985916
"Schauffele, Xander",20,0,2.2979999999999996,0.004,75,62,0.45952516129032256,0.31052403225806446,0.5706475806451613,0.8502753225806452,1.731446935483871,2.2193633333333334
"Hatton, Tyrrell",14,2,1.7040000000000002,0,51,43,0.5762746511627908,0.38748186046511623,0.87724,0.3622409302325581,1.6269627906976742,2.200977450980392
"McIlroy, Rory",16,1,1.4559999999999997,0,61,52,0.06349423076923078,0.1688251923076923,0.7065992307692308,0.8715848076923076,1.7470092307692306,2.102954590163934
"Johnson, Dustin",16,3,2.1380000000000003,0.044,54,48,0.38699791666666666,0.10884916666666666,0.698100625,0.8269760416666667,1.6339258333333333,2.085475925925926
"Simpson, Webb",16,2,1.616,0,57,52,0.6946819230769231,0.2992896153846154,0.8021642307692307,0.22617480769230772,1.327628653846154,2.0023643859649125
"Berger, Daniel",18,1,1.1669999999999998,0.002,65,57,0.6113796491228071,0.34968578947368417,0.5256784210526316,0.5178222807017544,1.3931864912280703,1.9123281538461538
"Reed, Patrick",25,1,1.5350000000000001,0.002,89,76,0.6117536842105263,0.4648894736842106,0.30110986842105264,0.3771571052631579,1.143156447368421,1.8547001123595506
"Matsuyama, Hideki",21,0,1.133,0,75,62,-0.2928101612903226,0.5163214516129032,0.8626774193548388,0.4425867741935484,1.8215856451612904,1.7981448
"English, Harris",21,0,0.77,0,77,69,0.6035478260869565,0.3234834782608696,0.5494192753623188,0.29536753623188405,1.1682702898550725,1.7885253246753248
"DeChambeau, Bryson",21,1,1.735,0.019,73,63,0.7445257142857143,0.02532317460317461,0.07933428571428568,1.1579041269841268,1.262561587301587,1.7331742465753426
"Scheffler, Scottie",26,1,1.185,0.019,89,71,0.03342971830985915,0.16601915492957747,0.503374647887324,0.727261971830986,1.3966557746478876,1.651360224719101
"Morikawa, Collin",23,2,1.432,0.205,85,76,0.057567236842105254,0.02280013157894736,1.0074409210526316,0.6087914473684211,1.6390325000000001,1.6190205882352942
"Cantlay, Patrick",15,0,0.43000000000000005,0,55,49,0.3263983673469388,0.18491836734693878,0.6187855102040816,0.586024693877551,1.3897285714285714,1.5667792727272727
"Scott, Adam",12,2,0.307,0,43,35,0.4887497142857143,0.45474285714285717,0.3933825714285714,0.11020114285714286,0.9583265714285714,1.4729388372093024
"Woodland, Gary",19,0,0.209,0,67,54,0.414562962962963,-0.14656796296296296,0.7513455555555555,0.16701833333333335,0.7717959259259259,1.4360679104477612
"Ancer, Abraham",23,0,1.177,0,82,61,0.44914983606557374,-0.03352622950819672,0.4779977049180328,0.4601965573770492,0.9046680327868852,1.3569082926829268
"Fitzpatrick, Matt",21,1,0.955,0,75,65,0.9135678461538461,0.006753846153846148,0.19162369230769233,0.35783200000000004,0.5562095384615384,1.3294430666666666
"Woods, Tiger",8,1,1,0,32,23,-0.5334730434782609,-0.06942826086956523,0.965334347826087,0.12083260869565216,1.0167386956521738,1.322673125
"Zalatoris, Will",18,1,0.20500000000000002,0,70,0,-9999,-9999,-9999,-9999,-9999,1.3099122857142858
"Hovland, Viktor",26,1,0.556,0,91,69,0.18225782608695654,-0.23110782608695654,0.648096231884058,0.6815598550724637,1.0985482608695651,1.2552014285714286
"Im, Sungjae",28,1,0.625,0,99,84,0.3184290476190476,0.06965559523809525,0.17516761904761907,0.5216401190476191,0.7664633333333335,1.2485503030303031
"Kuchar, Matt",19,1,0.179,0,65,50,0.7838348,0.10462000000000002,0.14824600000000002,0.1254904,0.37835640000000004,1.2285979999999999
"Finau, Tony",23,0,0.773,0.019,81,60,0.15178116666666666,0.32593066666666665,0.6406915000000001,0.47830249999999996,1.4449246666666666,1.204348024691358
"Fowler, Rickie",16,0,0.016,0,49,42,0.29955166666666666,0.2306247619047619,0.18133214285714286,0.2311842857142857,0.6431411904761904,1.1598363265306122
"Bezuidenhout, Christiaan",24,3,1.16,0,81,73,0.8514534246575343,0.2627953424657534,0.1911258904109589,-0.3457913698630137,0.10812986301369865,1.1227576543209876
"Todd, Brendon",26,2,1.045,0.001,87,76,0.594535394736842,0.13331697368421055,-0.02044223684210526,0.040796447368421064,0.15367118421052636,1.0865759770114942
"Day, Jason",18,0,0.624,0.019,54,41,0.3006192682926829,0.6113839024390244,-0.06659560975609755,0.2825560975609756,0.8273443902439025,1.0759324074074075
"Horschel, Billy",23,0,0.5740000000000001,0,80,60,0.495186,0.15299266666666667,0.14161016666666668,0.438244,0.7328468333333333,1.0742595
"Fleetwood, Tommy",18,0,0.062,0,65,53,0.13761075471698112,0.33955169811320757,0.15693264150943395,0.5222807547169812,1.0187650943396227,1.0615781538461537
"Palmer, Ryan",21,0,0.9460000000000001,0,72,60,-0.1923885,0.060288166666666684,0.5555661666666667,0.428105,1.0439593333333332,1.0384525
"Conners, Corey",23,0,0.036000000000000004,0,75,63,-0.4987031746031746,-0.11577380952380953,0.7260553968253968,0.7210357142857142,1.3313173015873014,1.0289238666666667
"Poulter, Ian",20,0,0.07,0,71,61,0.7588555737704917,0.1142827868852459,0.2277970491803279,-0.07546754098360657,0.2666122950819672,1.0267583098591548
"Noren, Alex",17,0,0.051000000000000004,0,60,45,0.46395977777777786,0.5068795555555555,0.11655044444444446,-0.1477502222222222,0.4756797777777778,0.9828061666666666
"Na, Kevin",22,1,0.539,0,72,60,0.7447358333333334,0.2083438333333333,0.37165849999999995,-0.23612616666666666,0.3438761666666666,0.9608654166666667
"Kisner, Kevin",23,0,0.34199999999999997,0,78,57,0.6225680701754386,-0.01831298245614036,0.38694754385964913,0.22269438596491228,0.5913289473684211,0.9593530769230768
