player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Scheffler, Scottie",25,3,5.0649999999999995,0.467,103,93,-0.23353301075268817,0.4259401075268818,1.3181336559139785,1.1903115053763442,2.9343852688172043,2.7478772815533983
"McIlroy, Rory",22,3,1.9989999999999999,0.342,87,87,0.3542867816091954,0.22849356321839082,0.7125567816091954,1.0883845977011495,2.0294349425287357,2.3837222988505746
"Rahm, Jon",24,4,2.984,0.5710000000000001,90,83,0.3654328915662651,0.21217951807228916,0.9756691566265061,0.681606265060241,1.8694549397590363,2.324561222222222
"Cantlay, Patrick",21,0,1.351,0.004,80,78,0.2573728205128205,0.32938987179487184,0.7083792307692308,0.942945,1.9807141025641026,2.242241875
"Hovland, Viktor",27,4,3.675,0.395,107,93,0.31723225806451616,0.07090236559139784,0.8092074193548388,0.9436867741935484,1.823796559139785,2.232965887850467
"Schauffele, Xander",24,0,2.329,0.004,94,79,0.685173417721519,0.17211101265822787,1.1097686075949367,0.3359184810126582,1.617798101265823,2.189710425531915
"Morikawa, Collin",27,1,1.617,0.002,94,77,0.034555584415584414,0.15668870129870133,1.0665498701298701,0.5863112987012987,1.80954987012987,1.895125
"Homa, Max",28,3,2.838,0.001,103,98,0.6313583673469387,0.15673602040816326,0.6187230612244897,0.39847836734693876,1.1739374489795917,1.7095261165048543
"Hatton, Tyrrell",26,0,0.818,0.001,99,95,0.45109347368421054,0.2006381052631579,0.6468988421052632,0.4569124210526316,1.3044493684210525,1.67801797979798
"Fowler, Rickie",27,1,0.49700000000000005,0.014,103,92,0.3841288043478261,0.27336510869565217,0.8086740217391304,0.1386576086956522,1.2206967391304346,1.5368806796116505
"Finau, Tony",26,2,1.9340000000000002,0,95,86,-0.029349883720930236,0.2790218604651163,0.9555544186046511,0.3307610465116279,1.5653373255813952,1.5194634736842105
"Henley, Russell",25,1,1.1280000000000001,0.016,87,82,0.03141853658536585,0.376054756097561,0.625100243902439,0.2989919512195122,1.3001469512195123,1.4694101149425287
"Fleetwood, Tommy",28,0,0.7470000000000001,0.015,104,93,0.3686216129032258,0.2974822580645161,0.6017911827956989,0.47474623655913983,1.374019677419355,1.4617702884615384
"Im, Sungjae",34,1,0.26899999999999996,0,123,100,0.3332925,0.35502490000000003,0.2552501,0.5063329,1.1166079,1.4582968292682927
"Fitzpatrick, Matt",29,2,1.628,0.001,103,94,0.6244713829787234,0.27312574468085105,0.2299055319148936,0.2819968085106383,0.7850280851063829,1.4225753398058252
"Kim, Tom",31,2,0.5690000000000001,0.026000000000000002,113,103,0.30907563106796115,0.1395564077669903,0.7319464077669903,0.16970339805825244,1.041206213592233,1.3824964601769913
"Aberg, Ludvig",24,6,1.588,0,89,61,0.2554654098360656,0.10165819672131148,0.08421475409836064,0.8544570491803278,1.04033,1.3215868539325841
"Day, Jason",25,1,0.177,0.02,89,81,0.4201004938271605,0.2940854320987654,0.19808444444444445,0.3935188888888889,0.8856887654320988,1.3061150561797754
"Bradley, Keegan",25,2,1.3840000000000001,0,89,80,0.47707125,0.0881495,0.380101875,0.28186875,0.7501201249999999,1.28114
"Spieth, Jordan",24,0,0.748,0.015,83,77,0.13831857142857143,0.39456194805194805,0.46382662337662334,0.3175545454545454,1.1759431168831167,1.260318313253012
"Harman, Brian",29,1,0.525,0.792,100,92,0.5431686956521738,0.21709402173913042,0.11883869565217392,0.2972495652173913,0.6331822826086957,1.215081
"Smith, Cameron",22,3,0.9420000000000001,0.037000000000000005,69,16,1.29652875,0.24366375,0.75139,-0.17263125,0.8224225000000001,1.2089766666666668
"Clark, Wyndham",31,2,1.1429999999999996,0.537,118,102,0.3549809803921568,0.15840872549019608,0.4347649019607843,0.2832736274509804,0.8764472549019608,1.183722372881356
"Young, Cameron",27,0,0.34299999999999997,0.009000000000000001,105,86,-0.1073156976744186,-0.02871837209302325,0.5043296511627907,0.7047258139534883,1.1803370930232557,1.1761045714285716
"Rose, Justin",25,1,0.28400000000000003,0.003,88,80,0.245640625,0.173540375,0.688967875,-0.045284375,0.8172238749999999,1.1498552272727272
"Burns, Sam",28,1,0.093,0,100,94,0.6337953191489362,0.054198936170212764,-0.02068053191489361,0.4609405319148936,0.49445893617021275,1.1260474999999999
