player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Woods, Tiger",18,7,4.803000000000001,0.10200000000000001,70,48,0.972380625,0.6257541666666667,1.593104375,0.46179875,2.680657291666667,3.375833
"Stricker, Steve",22,3,1.6939999999999997,0.005,83,62,0.2881464516129032,0.36028499999999997,1.1664032258064514,0.36651887096774194,1.8932070967741932,2.0569322891566264
"Furyk, Jim",23,1,2.035,0.002,87,65,0.7898504615384615,0.47493,0.7124116923076923,0.07015507692307693,1.2574967692307693,1.9499801149425287
"Casey, Paul",18,3,1.3960000000000001,0,65,26,0.3704946153846154,-0.1725926923076923,1.1324546153846153,0.29111461538461536,1.2509765384615383,1.7306535384615385
"Johnson, Zach",26,2,0.405,0.002,96,79,0.43793607594936707,0.09192278481012658,0.9604293670886076,0.3168258227848101,1.3691779746835442,1.6511632291666667
"Mahan, Hunter",24,0,0.869,0.009000000000000001,92,75,0.47779346666666667,-0.3175424,0.6934917333333334,0.7208589333333333,1.0968082666666665,1.5844322826086958
"McIlroy, Rory",27,1,0.879,0.021,108,22,-0.3179677272727273,-0.02845999999999999,0.3746654545454545,0.4287177272727272,0.7749231818181818,1.5566433333333334
"Mickelson, Phil",20,4,2.239,0.041999999999999996,75,48,-0.057355416666666666,0.4252458333333333,0.44277833333333333,0.42652375000000003,1.2945479166666667,1.5173361333333335
"Perry, Kenny",24,2,1.0079999999999998,0.104,95,73,0.3391908219178082,-0.012073150684931498,0.5405271232876713,0.6456456164383562,1.1740995890410961,1.5058207368421055
"Watney, Nick",26,1,1.2630000000000001,0,94,68,0.30508117647058824,-0.1717095588235294,0.46764514705882354,0.8199070588235294,1.1158426470588236,1.4821674468085104
"Westwood, Lee",26,2,1.3609999999999998,0.027,102,12,-0.03791833333333333,-0.798975,1.4182274999999998,0.7988216666666667,1.4180741666666665,1.4608254901960784
"Poulter, Ian",25,1,0.266,0,92,42,0.16790809523809522,0.6926266666666666,0.39947285714285713,0.3285845238095238,1.4206840476190474,1.4491434782608696
"Kaymer, Martin",24,2,0.9119999999999999,0.004,90,24,0.038321250000000036,0.2575441666666667,-0.04906166666666667,0.47271291666666665,0.6811954166666667,1.4115484444444444
"Goosen, Retief",29,1,0.275,0.004,109,56,0.5491230357142857,0.14867821428571432,0.30961339285714284,0.3456639285714286,0.8039555357142858,1.3540460550458715
