player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Woods, Tiger",22,7,5.501,0.622,88,88,-9999,-9999,-9999,-9999,-9999,2.9708036363636365
"Love III, Davis",20,1,2.6310000000000002,0.009999999999999998,75,75,-9999,-9999,-9999,-9999,-9999,2.4343410666666667
"Singh, Vijay",27,2,1.661,0.011999999999999999,104,104,-9999,-9999,-9999,-9999,-9999,2.3724073076923076
"Mickelson, Phil",22,2,1.8419999999999999,0.974,82,82,-9999,-9999,-9999,-9999,-9999,2.2664960975609754
"Garcia, Sergio",23,3,2.374,0.008,84,84,-9999,-9999,-9999,-9999,-9999,2.058412976190476
"Izawa, Toshimitsu",4,0,0.005,0.018,14,14,-9999,-9999,-9999,-9999,-9999,1.7239457142857142
"Duval, David",19,1,0.931,0.41300000000000003,74,74,-9999,-9999,-9999,-9999,-9999,1.702005810810811
"DiMarco, Chris",27,1,1.22,0.007,103,103,-9999,-9999,-9999,-9999,-9999,1.6950723300970876
"Toms, David",26,3,1.572,0.906,96,96,-9999,-9999,-9999,-9999,-9999,1.6939853125
"Verplank, Scott",25,1,0.716,0.011,97,97,-9999,-9999,-9999,-9999,-9999,1.6849094845360824
"Hoch, Scott",24,2,1.871,0.013,84,84,-9999,-9999,-9999,-9999,-9999,1.6794749999999998
"Price, Nick",20,0,0.40800000000000003,0.001,74,74,-9999,-9999,-9999,-9999,-9999,1.6425020270270272
"Furyk, Jim",24,1,1.139,0.019,88,88,-9999,-9999,-9999,-9999,-9999,1.5995032954545456
"Langer, Bernhard",25,2,1.106,0.016,92,92,-9999,-9999,-9999,-9999,-9999,1.5765172826086957
"Estes, Bob",24,2,1.5230000000000001,0,88,88,-9999,-9999,-9999,-9999,-9999,1.5700196590909092
"Harrington, Padraig",23,1,0.9950000000000001,0,89,89,-9999,-9999,-9999,-9999,-9999,1.5678607865168541
"Lehman, Tom",23,0,1.331,0.001,83,83,-9999,-9999,-9999,-9999,-9999,1.5354313253012049
"Azinger, Paul",20,0,0.505,0.020999999999999998,79,79,-9999,-9999,-9999,-9999,-9999,1.528178734177215
"Weir, Mike",23,1,0.548,0.002,86,86,-9999,-9999,-9999,-9999,-9999,1.4969253488372092
"Goosen, Retief",25,3,0.5630000000000001,0.446,87,87,-9999,-9999,-9999,-9999,-9999,1.4862802298850573
"McCarron, Scott",24,1,0.627,0,94,94,-9999,-9999,-9999,-9999,-9999,1.4405975531914892
"Perry, Kenny",23,1,0.729,0,89,89,-9999,-9999,-9999,-9999,-9999,1.4311806741573034
"Mediate, Rocco",20,0,1.647,0.153,69,69,-9999,-9999,-9999,-9999,-9999,1.4262750724637683
"Howell III, Charles",23,0,0.181,0.001,85,85,-9999,-9999,-9999,-9999,-9999,1.4223029411764705
"Els, Ernie",22,0,0.478,0.019,80,80,-9999,-9999,-9999,-9999,-9999,1.322818125
"Sutherland, Kevin",28,0,0.47700000000000004,0.004,98,98,-9999,-9999,-9999,-9999,-9999,1.3157673469387756
"Cink, Stewart",27,0,0.387,0.274,97,97,-9999,-9999,-9999,-9999,-9999,1.3011225773195876
"Parnevik, Jesper",27,1,0.023,0.007,103,103,-9999,-9999,-9999,-9999,-9999,1.2793503883495145
"Sluman, Jeff",29,1,0.178,0,104,104,-9999,-9999,-9999,-9999,-9999,1.2732810576923077
