player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Stricker, Steve",12,0,2.3749999999999996,0.013999999999999999,47,35,0.8654451428571428,0.6841748571428572,0.8184828571428572,0.5224128571428571,2.0250705714285715,2.796558723404255
"Woods, Tiger",17,5,4.522,0.016,66,43,0.5731820930232557,0.3339072093023256,1.788026976744186,0.06081395348837211,2.182748139534884,2.5576016666666668
"Scott, Adam",19,4,1.0879999999999999,0.249,76,44,0.12597386363636362,0.13989636363636362,0.7961890909090908,0.928135,1.8642204545454546,2.3802381578947367
"Rose, Justin",22,1,1.0670000000000002,0.407,84,46,-0.06525739130434784,0.5672215217391304,1.1886763043478261,0.6401123913043478,2.3960102173913045,2.1019528571428574
"Stenson, Henrik",27,3,3.777,0.187,104,44,0.12846659090909093,0.19959340909090909,1.0028504545454544,0.8933318181818183,2.095775681818182,2.0309955769230768
"Garcia, Sergio",22,1,1.4349999999999998,0.002,87,47,0.7214274468085106,0.337411914893617,0.7574731914893618,0.3004378723404255,1.3953229787234043,1.9490577011494252
"Schwartzel, Charl",25,2,1.574,0.002,95,54,0.4180564814814815,0.1307061111111111,0.8950668518518519,0.336672037037037,1.3624450000000001,1.9334992631578949
"Kuchar, Matt",25,2,1.3780000000000001,0.003,99,69,0.5052013043478261,0.3362317391304348,0.8896052173913043,0.1167768115942029,1.342613768115942,1.869959393939394
"Day, Jason",22,1,0.795,0.17099999999999999,88,61,0.48804016393442623,0.2343554098360656,0.17473655737704918,0.6014542622950819,1.0105462295081966,1.8204402272727274
"Mickelson, Phil",22,3,1.6529999999999998,0.40599999999999997,82,57,0.7627135087719299,0.3243938596491228,0.6585826315789474,0.15149859649122807,1.1344750877192982,1.7925442682926829
"Snedeker, Brandt",23,2,2.1270000000000002,0.005,79,58,0.7886305172413792,0.4113118965517241,0.27280724137931034,0.10220913793103449,0.7863282758620689,1.7392449367088607
