eventId,eventName,course,tour,season,startDate,endDate,purse,winner,lastSynced
2025110,Investec South African Open Championship,Durban Country Club,euro,2025,2025-02-27,2025-12-27,,,2025-12-27
2025111,Joburg Open,Houghton GC,euro,2025,2025-03-06,2025-12-27,,,2025-12-27
2025112,Porsche Singapore Classic,Laguna National G&Cc Classic Course,euro,2025,2025-03-20,2025-12-27,,,2025-12-27
2025113,Hero Indian Open,Dlf G&Cc Player Course,euro,2025,2025-03-27,2025-12-27,,,2025-12-27
2025115,Volvo China Open,Enhance Anting GC,euro,2025,2025-04-17,2025-12-27,,,2025-12-27
2025139,Hainan Classic,Blackstone Course Mission Hills,euro,2025,2025-04-24,2025-12-27,,,2025-12-27
2025140,Turkish Airlines Open,Regnum Carya Golf & Spa Resort,euro,2025,2025-05-08,2025-12-27,,,2025-12-27
2025117,Soudal Open,Rinkven International GC,euro,2025,2025-05-22,2025-12-27,,,2025-12-27
2025143,Austrian Alpine Open,Gut Altentann GC,euro,2025,2025-05-29,2025-12-27,,,2025-12-27
2025118,KLM Open,International,euro,2025,2025-06-05,2025-12-27,,,2025-12-27
2025119,Italian Open,Argentario GC,euro,2025,2025-06-26,2025-12-27,,,2025-12-27
2025120,BMW International Open,Golfclub Munchen Eichenried,euro,2025,2025-07-03,2025-12-27,,,2025-12-27
2025125,Nexo Championship,Trump International Golf Links,euro,2025,2025-08-07,2025-12-27,,,2025-12-27
2025126,Danish Golf Championship,Fureso Golf Klub,euro,2025,2025-08-14,2025-12-27,,,2025-12-27
2025127,Betfred British Masters hosted by Sir Nick Faldo,Brabazon Course At The Belfry,euro,2025,2025-08-21,2025-12-27,,,2025-12-27
2025128,Omega European Masters,Crans-Sur-Sierre GC,euro,2025,2025-08-28,2025-12-27,,,2025-12-27
2025129,Amgen Irish Open,K Club,euro,2025,2025-09-04,2025-12-27,,,2025-12-27
2025130,BMW PGA Championship,Wentworth Golf Club,euro,2025,2025-09-11,2025-12-27,,,2025-12-27
2025131,FedEx Open de France,Golf De Saint-Nom-La-Breteche,euro,2025,2025-09-18,2025-12-27,,,2025-12-27
2025133,Alfred Dunhill Links Championship,Carnoustie;Old Course St. Andrews;Kingsbarns Golf Links,euro,2025,2025-10-02,2025-12-27,,,2025-12-27
2025134,Open de Espana,Club De Campo Villa De Madrid,euro,2025,2025-10-09,2025-12-27,,,2025-12-27
2025141,DP World India Championship,Delhi GC,euro,2025,2025-10-16,2025-12-27,,,2025-12-27
2025135,Genesis Championship,Woo Jeong Hills CC,euro,2025,2025-10-23,2025-12-27,,,2025-12-27
2025136,Abu Dhabi HSBC Championship,Yas Links,euro,2025,2025-11-06,2025-12-27,,,2025-12-27
2025137,DP World Tour Championship,Jumeirah Golf Estates,euro,2025,2025-11-13,2025-12-27,,,2025-12-27
