time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l24_months,sg per shot,"McCarty, Matt",121,0.02,346,-0.018,472,0.014,262,-0.029,133,0.032,134,0.009
l24_months,sg per shot,"Smotherman, Austin",41,-0.024,147,-0.018,209,0.049,96,0.053,86,0.064,53,-0.01
l24_months,sg per shot,"Whaley, Vince",169,0.051,442,-0.018,656,-0.02,324,-0.037,328,0.015,276,-0.024
l24_months,sg per shot,"Thorbjornsen, Michael",128,-0.016,352,-0.019,454,-0.006,257,0.044,198,0.005,150,0.03
l24_months,sg per shot,"Burgoon, Bronson",38,-0.069,88,-0.019,146,0.015,78,-0.018,61,0.01,67,-0.046
l24_months,sg per shot,"Jaeger, Stephan",175,0.09,599,-0.019,860,0.014,469,-0.025,331,0.016,338,0.036
l24_months,sg per shot,"MacIntyre, Robert",171,-0.02,610,-0.019,842,-0.001,455,0.035,274,0.039,295,0.028
l24_months,sg per shot,"Rosenmueller, Thomas",92,-0.011,207,-0.019,298,0.072,154,0.006,108,-0.046,84,0.01
l24_months,sg per shot,"Echavarria, Nico",186,-0.048,557,-0.019,861,0.03,428,-0.003,234,0.025,235,-0.001
l24_months,sg per shot,"Higgs, Harry",82,-0.002,287,-0.019,367,-0.037,191,0.033,171,-0.02,127,-0.012
l24_months,sg per shot,"Haas, Bill",37,-0.043,120,-0.02,150,-0.045,78,-0.045,80,0.019,67,-0.023
l24_months,sg per shot,"Velo, Kevin",70,0.057,176,-0.02,258,-0.038,113,-0.008,87,-0.001,83,-0.093
l24_months,sg per shot,"Goodwin, Noah",75,0.038,197,-0.02,304,-0.026,137,-0.04,82,-0.018,87,-0.009
l24_months,sg per shot,"Norrman, Vincent",87,-0.026,257,-0.021,381,0.015,168,0.002,118,-0.055,123,-0.047
l24_months,sg per shot,"Paul, Jeremy",62,0.069,206,-0.021,276,-0.048,130,-0.007,120,0.056,102,-0.047
l24_months,sg per shot,"Knowles, Philip",66,0.066,177,-0.021,239,-0.043,115,-0.015,79,-0.048,58,-0.098
l24_months,sg per shot,"Dickson, Taylor",67,-0.015,207,-0.021,290,-0.051,149,-0.024,102,-0.038,126,-0.05
l24_months,sg per shot,"Teater, Josh",61,-0.026,153,-0.022,226,0.001,121,-0.123,93,-0.044,77,0.035
l24_months,sg per shot,"Malnati, Peter",166,-0.004,458,-0.022,635,-0.007,319,-0.089,332,0.013,298,-0.007
l24_months,sg per shot,"Spieth, Jordan",183,0.008,493,-0.022,755,-0.016,389,0.004,265,0.026,242,0.031
l24_months,sg per shot,"Shipley, Neal",60,-0.068,140,-0.022,185,-0.005,96,0.116,79,0.06,40,0.03
l24_months,sg per shot,"Alexander, Tyson",58,-0.032,210,-0.023,320,-0.06,153,-0.091,125,-0.004,152,0.041
l24_months,sg per shot,"Hubbard, Mark",198,0.015,645,-0.024,923,0.01,459,0.033,260,-0.021,291,0.023
l24_months,sg per shot,"Ramey, Chad",205,-0.029,514,-0.024,742,-0.02,362,-0.001,217,0.012,242,-0.041
l24_months,sg per shot,"Campillo, Jorge",44,-0.029,160,-0.024,278,-0.024,151,0.023,86,0.061,110,0.078
l24_months,sg per shot,"Chandler, Will",74,-0.059,227,-0.024,304,-0.047,161,-0.108,121,-0.044,118,-0.013
l24_months,sg per shot,"Riedel, Matthew",61,-0.07,202,-0.024,242,-0.032,123,0.004,92,-0.031,87,-0.044
l24_months,sg per shot,"Kanaya, Takumi",92,-0.002,269,-0.025,428,-0.039,213,-0.031,77,-0.025,76,-0.008
l24_months,sg per shot,"Stevens, Sam",242,-0.021,718,-0.025,931,-0.002,470,-0.042,359,-0.026,285,-0.015
l24_months,sg per shot,"Ventura, Kris",107,-0.038,299,-0.025,388,0.011,195,-0.005,147,-0.007,118,-0.027
l24_months,sg per shot,"Chappell, Kevin",54,0.022,178,-0.026,218,-0.045,107,-0.008,91,-0.006,82,-0.046
l24_months,sg per shot,"Svensson, Jesper",140,0.036,308,-0.026,426,-0.032,219,-0.015,205,0.025,179,-0.017
l24_months,sg per shot,"Laird, Martin",109,-0.026,269,-0.026,428,-0.012,205,-0.051,147,0.034,131,0.001
l24_months,sg per shot,"Higgo, Garrick",133,-0.012,353,-0.027,450,-0.019,222,-0.027,224,-0.014,180,-0.036
l24_months,sg per shot,"Woodland, Gary",181,-0.018,512,-0.028,827,0.026,377,0.037,309,0.002,300,0.055
l24_months,sg per shot,"Thornberry, Braden",64,-0.022,164,-0.029,251,-0.072,113,-0.11,126,-0.025,96,-0.067
l24_months,sg per shot,"Dufner, Jason",31,0.078,97,-0.03,null,null,null,null,27,-0.035,null,null
l24_months,sg per shot,"Hossler, Beau",215,0.012,535,-0.031,780,-0.023,418,-0.068,381,0.036,315,-0.038
l24_months,sg per shot,"Suh, Justin",82,-0.017,286,-0.031,349,-0.018,171,-0.063,117,-0.005,103,0.022
l24_months,sg per shot,"Lawrence, Thriston",75,-0.034,217,-0.032,330,-0.024,174,0.046,96,-0.014,86,0.063
l24_months,sg per shot,"Mullinax, Trey",101,0.064,255,-0.032,339,0.026,167,-0.064,164,-0.022,108,0.011
l24_months,sg per shot,"Kraft, Kelly",29,0.023,99,-0.033,145,0.077,77,0.008,46,-0.071,49,-0.008
l24_months,sg per shot,"Lee, Min Woo",172,0.01,506,-0.033,667,-0.02,354,0.001,305,-0.015,241,-0.055
l24_months,sg per shot,"Moore, Taylor",229,-0.009,532,-0.033,842,-0.045,429,0.004,320,0,323,0.016
l24_months,sg per shot,"Buckley, Hayden",121,-0.074,397,-0.035,575,0.014,257,-0.052,202,-0.002,129,-0.035
l24_months,sg per shot,"Vilips, Karl",71,0.036,186,-0.037,279,0.058,133,-0.037,128,-0.022,104,-0.007
l24_months,sg per shot,"Springer, Hayden",165,0.046,370,-0.037,569,-0.051,283,-0.015,267,-0.04,186,0.043
l24_months,sg per shot,"Schmid, Matti",144,-0.082,500,-0.037,733,0.02,321,0.022,263,0.002,238,0.019
l24_months,sg per shot,"Cummins, Quade",69,-0.035,241,-0.038,315,-0.02,159,-0.032,137,-0.01,131,-0.031
l24_months,sg per shot,"Xiong, Norman",55,-0.011,164,-0.039,256,-0.054,115,-0.049,101,0.02,101,-0.013
l24_months,sg per shot,"Cink, Stewart",70,-0.018,180,-0.04,272,-0.02,118,-0.008,88,0.068,89,-0.03
l24_months,sg per shot,"Willett, Danny",50,-0.013,136,-0.04,210,-0.031,114,-0.088,77,-0.031,62,-0.035
l24_months,sg per shot,"Tarren, Callum",74,-0.003,205,-0.04,309,-0.021,147,-0.022,178,0.051,133,0.021
l24_months,sg per shot,"List, Luke",148,-0.07,500,-0.041,662,-0.039,343,0.019,273,0.024,264,0.012
l24_months,sg per shot,"English, Harris",170,0.02,633,-0.042,1012,0.021,488,-0.013,236,-0.044,319,0.019
l24_months,sg per shot,"Brehm, Ryan",64,-0.165,179,-0.042,251,-0.064,129,-0.031,122,-0.019,115,-0.006
l24_months,sg per shot,"O'Hair, Sean",22,0.072,92,-0.042,118,-0.005,58,-0.077,54,-0.005,null,null
l24_months,sg per shot,"Andersen, Mason",59,-0.064,153,-0.042,247,-0.068,116,-0.064,118,-0.054,98,-0.036
l24_months,sg per shot,"Gotterup, Chris",191,-0.021,481,-0.043,697,-0.007,383,-0.034,388,0.01,300,0.026
l24_months,sg per shot,"Fitzpatrick, Matt",165,0,542,-0.043,823,0.005,434,0.067,215,-0.025,271,0.01
l24_months,sg per shot,"Furr, Wilson",67,-0.065,183,-0.044,255,-0.034,116,0.001,108,-0.014,83,0.013
l24_months,sg per shot,"Ford, David",39,-0.037,145,-0.045,156,-0.057,78,0.004,29,-0.027,null,null
l24_months,sg per shot,"Gordon, Will",84,-0.019,320,-0.045,471,-0.011,198,0.021,157,-0.013,147,0.042
l24_months,sg per shot,"Im, Sungjae",215,-0.034,642,-0.046,1034,-0.031,554,0.025,242,-0.014,309,-0.003
l24_months,sg per shot,"Gribble, Cody",34,-0.037,104,-0.047,126,-0.07,66,-0.136,62,-0.044,null,null
l24_months,sg per shot,"Duncan, Tyler",85,-0.094,243,-0.047,346,-0.029,169,-0.041,103,-0.052,92,0.016
l24_months,sg per shot,"Del Solar, Cristobal",58,-0.059,194,-0.048,274,-0.02,156,-0.004,150,0.015,122,-0.049
l24_months,sg per shot,"Endycott, Harrison",64,-0.076,182,-0.048,250,-0.041,137,0.007,81,-0.085,76,0.014
l24_months,sg per shot,"Capan III, Frankie",58,0.012,188,-0.048,288,-0.046,138,-0.065,172,-0.022,164,-0.017
l24_months,sg per shot,"Tosti, Alejandro",136,-0.015,388,-0.049,543,-0.034,243,-0.012,257,-0.017,229,-0.009
l24_months,sg per shot,"Yuan, Carl",82,-0.03,227,-0.051,346,-0.035,160,-0.015,137,-0.046,126,-0.026
l24_months,sg per shot,"Hahn, James",68,-0.025,202,-0.051,248,-0.035,140,-0.069,95,-0.034,84,-0.101
l24_months,sg per shot,"Albertson, Anders",52,-0.006,139,-0.058,216,-0.05,96,-0.079,99,-0.045,86,0.041
l24_months,sg per shot,"Sargent, Gordon",57,0.014,113,-0.061,136,-0.071,76,-0.099,84,0.003,52,-0.118
l24_months,sg per shot,"Waring, Paul",39,-0.032,88,-0.063,126,-0.046,71,-0.002,39,-0.065,57,-0.042
l24_months,sg per shot,"Palmer, Ryan",96,-0.039,316,-0.065,408,-0.113,189,-0.089,143,0.011,144,-0.031
l24_months,sg per shot,"Champ, Cameron",98,-0.122,350,-0.067,451,0.008,221,-0.004,163,-0.069,123,-0.053
l24_months,sg per shot,"Taylor, Ben",62,0.012,200,-0.068,301,-0.027,136,-0.063,116,-0.023,128,-0.034
l24_months,sg per shot,"Cone, Trevor",79,-0.026,186,-0.07,267,-0.014,146,-0.001,124,0.045,80,0.036
l24_months,sg per shot,"Mouw, William",63,-0.034,195,-0.073,269,-0.01,150,0.038,114,0.034,97,-0.021
l24_months,sg per shot,"Stanger, Jimmy",37,0.022,101,-0.076,151,-0.025,68,-0.018,56,-0.038,50,0.012
l24_months,sg per shot,"Watney, Nick",36,0.074,86,-0.076,115,-0.025,null,null,73,0.014,74,-0.037
l24_months,sg per shot,"Hoshino, Rikuya",44,0.037,118,-0.082,224,0.026,101,0.018,53,0.022,106,-0.08
l24_months,sg per shot,"Pereda, Raul",42,-0.064,143,-0.082,181,-0.086,93,-0.041,76,-0.078,82,-0.015
l24_months,sg per shot,"Trainer, Martin",63,-0.077,139,-0.083,217,-0.068,104,-0.1,117,0.005,88,-0.013
l24_months,sg per shot,"Tway, Kevin",64,-0.048,168,-0.09,285,-0.036,147,-0.041,129,-0.015,103,0.025
l24_months,sg per shot,"Kim, S.H.",98,0.009,333,-0.1,505,-0.043,252,-0.047,189,-0.048,194,-0.006
l24_months,sg per shot,"Barjon, Paul",41,-0.123,175,-0.103,242,-0.042,115,-0.005,103,-0.037,83,-0.009
l24_months,sg per shot,"Dougherty, Kevin",68,-0.136,192,-0.117,244,0.003,129,-0.013,115,-0.023,89,-0.018
l24_months,sg per shot,"Hillier, Daniel",null,null,null,null,null,null,null,null,null,null,44,-0.044
l24_months,sg per shot,"Hidalgo Portillo, Angel",null,null,null,null,null,null,null,null,27,-0.033,null,null
l24_months,sg per shot,"Knox, Russell",null,null,null,null,null,null,null,null,37,-0.015,null,null
l24_months,sg per shot,"Westmoreland, Kyle",null,null,null,null,null,null,null,null,26,-0.036,null,null
l24_months,sg per shot,"De La Fuente, Santiago",null,null,null,null,103,-0.093,62,-0.073,23,-0.056,null,null
l24_months,sg per shot,"Sharma, Shubhankar",null,null,null,null,null,null,null,null,21,-0.064,null,null
l24_months,sg per shot,"Lamprecht, Christo",null,null,null,null,null,null,null,null,27,-0.078,null,null
l24_months,sg per shot,"McGirt, William",null,null,null,null,null,null,null,null,31,-0.037,null,null
l24_months,sg per shot,"Long, Adam",25,0.068,null,null,104,-0.067,null,null,43,0.024,43,0.036
l24_months,sg per shot,"Musselman, Cooper",null,null,null,null,null,null,null,null,21,-0.057,null,null
l24_months,sg per shot,"Puig, David",null,null,null,null,null,null,null,null,37,-0.079,39,-0.046
l24_months,sg per shot,"Meronk, Adrian",21,0.024,null,null,null,null,null,null,null,null,null,null
l24_months,sg per shot,"Nakajima, Keita",null,null,null,null,null,null,57,-0.054,25,0.037,null,null
l24_months,sg per shot,"Semikawa, Taiga",null,null,null,null,null,null,null,null,31,-0.027,null,null
l24_months,sg per shot,"Dou, Zecheng",null,null,null,null,null,null,null,null,39,-0.065,39,0.041
l24_months,sg per shot,"Mickelson, Phil",31,0.02,null,null,118,-0.048,81,0.067,35,0.078,42,-0.029
l24_months,sg per shot,"Stallings, Scott",null,null,null,null,116,0.072,58,0.015,37,-0.074,51,-0.027
l24_months,sg per shot,"Holmes, J.B.",43,0.003,null,null,99,-0.062,null,null,45,-0.094,53,-0.042
l24_months,sg per shot,"Smith, Jordan",26,-0.03,null,null,125,0.004,68,-0.025,23,0.053,null,null
l24_months,sg per shot,"Migliozzi, Guido",null,null,null,null,null,null,null,null,28,0.209,null,null
l24_months,sg per shot,"Daffue, MJ",24,-0.136,null,null,null,null,null,null,53,0.104,null,null
l24_months,sg per shot,"Kruyswijk, Jacques",null,null,null,null,null,null,null,null,22,0.106,null,null
l24_months,sg per shot,"Koepka, Brooks",33,-0.001,null,null,151,0.024,97,0.071,34,-0.003,52,-0.07
l24_months,sg per shot,"Smith, Cameron",27,-0.069,null,null,109,-0.045,76,-0.114,38,0.149,50,-0.05
l24_months,sg per shot,"Reed, Patrick",35,0.042,null,null,116,0.001,79,0.036,24,-0.048,null,null
l24_months,sg per shot,"Canter, Laurie",29,-0.042,null,null,122,-0.009,67,0.009,30,0.091,null,null
l24_months,sg per shot,"Burmester, Dean",null,null,null,null,null,null,62,0.053,34,0.099,47,0.056
l24_months,sg per shot,"Johnson, Dustin",36,0.04,null,null,123,0.001,73,0.034,26,-0.039,48,-0.056
l24_months,sg per shot,"Block, Michael",null,null,null,null,null,null,null,null,21,0.088,null,null
l24_months,sg per shot,"Pavan, Andrea",null,null,null,null,null,null,null,null,23,-0.048,null,null
l24_months,sg per shot,"Gainey, Tommy",21,0.067,null,null,null,null,null,null,30,-0.133,null,null
l24_months,sg per shot,"Frittelli, Dylan",null,null,null,null,null,null,null,null,34,0.041,null,null
l24_months,sg per shot,"Walker, Jimmy",null,null,null,null,null,null,null,null,46,-0.017,45,0.018
l24_months,sg per shot,"Garcia, Sergio",null,null,null,null,null,null,57,0.042,null,null,null,null
l24_months,sg per shot,"Donald, Luke",32,0.015,null,null,126,-0.019,80,-0.048,34,0.068,51,-0.067
l24_months,sg per shot,"Cantero Gutierrez, Ivan",null,null,null,null,null,null,null,null,25,-0.079,null,null
l24_months,sg per shot,"Johnson, Tom",null,null,null,null,null,null,null,null,24,-0.144,null,null
l24_months,sg per shot,"Brown, Daniel",null,null,null,null,null,null,null,null,26,-0.158,null,null
l24_months,sg per shot,"Byrd, Marcus",null,null,null,null,null,null,null,null,21,-0.026,null,null
l24_months,sg per shot,"Weir, Mike",29,-0.016,null,null,null,null,null,null,null,null,null,null
l24_months,sg per shot,"La Sasso, Michael",null,null,null,null,null,null,null,null,25,0.001,null,null
l24_months,sg per shot,"Keefer, Johnny",22,-0.126,null,null,null,null,null,null,38,0.022,null,null
l24_months,sg per shot,"McCulloch, Ashton",null,null,null,null,null,null,null,null,24,0.103,null,null
l24_months,sg per shot,"Brown, Blades",26,-0.002,null,null,108,0.018,null,null,28,-0.051,38,0.026
l24_months,sg per shot,"Hastings, Justin",null,null,null,null,100,-0.012,null,null,25,0.047,null,null
l24_months,sg per shot,"James, Ben",28,-0.017,null,null,null,null,null,null,31,0.093,null,null
l24_months,sg per shot,"Olesen, Jacob Skov",null,null,null,null,null,null,null,null,24,0.072,null,null
l24_months,sg per shot,"Wise, Aaron",null,null,null,null,null,null,null,null,31,-0.102,null,null
l24_months,sg per shot,"Jordan, Matthew",null,null,null,null,95,-0.011,null,null,28,0.08,null,null
l24_months,sg per shot,"Docherty, Alistair",null,null,null,null,null,null,null,null,29,0.002,null,null
l24_months,sg per shot,"Reiter, Charles",null,null,null,null,null,null,null,null,30,-0.123,null,null
l24_months,sg per shot,"Smylie, Elvis",null,null,null,null,null,null,null,null,22,0.071,null,null
l24_months,sg per shot,"Matthews, Brandon",null,null,null,null,null,null,null,null,23,-0.044,null,null
l24_months,sg per shot,"Penge, Marco",21,-0.106,null,null,null,null,null,null,23,-0.006,null,null
l24_months,sg per shot,"McKibbin, Tom",null,null,null,null,106,-0.003,56,0.015,22,-0.088,null,null
l24_months,sg per shot,"Shattuck, Braden",null,null,null,null,null,null,null,null,37,-0.189,null,null
